time,left_eye,right_eye,lips,head_h,head_v,head_slope,planar_angle,lip_sum,lip_ratio,abs_mov 
5335,0.016763436545655708,0,0.008492951333809784,0.0,1.0,1.0,3.3504766049744644e-05,1.984434010429453,0.008492951333809784,0
5336,0.0028390919014674165,0,0.0017200712705338628,1.0,0.0,1.0,0.002898055644043626,2.9971632159343926,0.0017200712705338628,0
5337,0.0028390919014674165,0,0.0006429911027063806,0.0,0.0,0.0,0.0,0.06237345126157834,0.0006429911027063806,1
5338,0.0,0,0.007771817826532079,0.0,2.0,2.0,0.005796306053714364,2.077418908441615,0.007771817826532079,0
5339,0.007134497402045581,0,0.004195787961377817,1.0,1.0,0.0,0.0029319499446022294,1.0150980513892875,0.004195787961377817,0
5340,0.007134497402045581,0,0.004219020967860643,0.0,0.0,0.0,6.720430098123599e-05,0.9999474057907491,0.004219020967860643,0
5341,0.007134497402045581,0,0.0042829240061168505,1.0,0.0,1.0,0.002973681634959445,1.0152515365205659,0.0042829240061168505,0
5342,0.007134497402045581,0,0.003574136041950615,1.0,1.0,0.0,0.002855690998962981,1.062163124202982,0.003574136041950615,0
5343,0.008162924530566829,0,0.0035102330036944074,1.0,0.0,1.0,0.0028978122238290556,1.0468589934731654,0.0035102330036944074,0
5344,0.032093394208765946,0,0.014522101033498103,3.0,1.0,2.0,0.002948353010201535,0.007834566087154826,0.014522101033498103,0
5345,0.03438766831373924,0,0.008646536459386733,3.0,6.0,9.0,0.002821250523910763,2.0201999594022197,0.008646536459386733,0
5346,0.08556086867866308,0,0.012968327655793033,5.0,2.0,7.0,0.003026385739331061,2.9993688861397914,0.012968327655793033,1
5347,0.04688357496458695,0,0.0006338007905274945,3.0,4.0,7.0,0.0029404049132727844,0.060858078641359725,0.0006338007905274945,0
